visType,framing,dataSize,truncationLevel,trendDirection,slope,id,index,training,rt,timestamp,qTrend,qSeverity,correct,firstX,lastX,x0,x1,x2
bar,trend,3,0.5,1,0.125,571b99e55d40840011c3de5f,15,,15574,Thu Mar 14 2019 10:32:05 GMT-0400 (Eastern Daylight Time),1,3,1,0.55,0.633333333,0.55,0.593371061,0.633333333
brokenbar,trend,3,0,1,0.125,571b99e55d40840011c3de5f,16,,13181,Thu Mar 14 2019 10:32:19 GMT-0400 (Eastern Daylight Time),1,1,1,0.55,0.633333333,0.55,0.588098289,0.633333333
brokenbar,trend,3,0.5,-1,0.25,571b99e55d40840011c3de5f,17,,27748,Thu Mar 14 2019 10:32:48 GMT-0400 (Eastern Daylight Time),-1,3,1,1,0.833333333,1,0.897749524,0.833333333
bottomgradbar,trend,3,0,1,0.25,571b99e55d40840011c3de5f,18,,11865,Thu Mar 14 2019 10:33:01 GMT-0400 (Eastern Daylight Time),1,3,1,0.55,0.716666667,0.55,0.646115374,0.716666667
bar,trend,2,0.5,-1,0.25,571b99e55d40840011c3de5f,19,,21848,Thu Mar 14 2019 10:33:25 GMT-0400 (Eastern Daylight Time),-1,4,1,1,0.875,1,0.875,
bar,trend,2,0,-1,0.125,571b99e55d40840011c3de5f,20,,20415,Thu Mar 14 2019 10:33:47 GMT-0400 (Eastern Daylight Time),-1,1,1,1,0.9375,1,0.9375,
bar,trend,3,0.5,1,0.25,571b99e55d40840011c3de5f,21,,21794,Thu Mar 14 2019 10:34:10 GMT-0400 (Eastern Daylight Time),1,5,1,0.55,0.716666667,0.55,0.615337637,0.716666667
bar,trend,2,0.25,1,0.125,571b99e55d40840011c3de5f,22,,23043,Thu Mar 14 2019 10:34:35 GMT-0400 (Eastern Daylight Time),1,2,1,0.55,0.6125,0.55,0.6125,
bottomgradbar,trend,2,0,1,0.125,571b99e55d40840011c3de5f,23,,13896,Thu Mar 14 2019 10:34:50 GMT-0400 (Eastern Daylight Time),1,2,1,0.55,0.6125,0.55,0.6125,
bottomgradbar,trend,3,0.5,-1,0.25,571b99e55d40840011c3de5f,24,,25951,Thu Mar 14 2019 10:35:17 GMT-0400 (Eastern Daylight Time),-1,3,1,1,0.833333333,1,0.917809567,0.833333333
bottomgradbar,trend,2,0.25,1,0.125,571b99e55d40840011c3de5f,25,,13302,Thu Mar 14 2019 10:35:32 GMT-0400 (Eastern Daylight Time),1,2,1,0.55,0.6125,0.55,0.6125,
brokenbar,trend,2,0,1,0.125,571b99e55d40840011c3de5f,26,,12695,Thu Mar 14 2019 10:35:46 GMT-0400 (Eastern Daylight Time),1,1,1,0.55,0.6125,0.55,0.6125,
bar,trend,3,0.25,-1,0.25,571b99e55d40840011c3de5f,27,,21517,Thu Mar 14 2019 10:36:09 GMT-0400 (Eastern Daylight Time),-1,3,1,1,0.833333333,1,0.923309427,0.833333333
bar,trend,2,0.25,1,0.25,571b99e55d40840011c3de5f,28,,57209,Thu Mar 14 2019 10:37:08 GMT-0400 (Eastern Daylight Time),1,4,1,0.55,0.675,0.55,0.675,
brokenbar,trend,3,0.25,-1,0.25,571b99e55d40840011c3de5f,29,,11563,Thu Mar 14 2019 10:37:21 GMT-0400 (Eastern Daylight Time),-1,3,1,1,0.833333333,1,0.927554013,0.833333333
brokenbar,trend,3,0.25,-1,0.125,571b99e55d40840011c3de5f,30,,11876,Thu Mar 14 2019 10:37:34 GMT-0400 (Eastern Daylight Time),-1,2,1,1,0.916666667,1,0.963577705,0.916666667
bottomgradbar,trend,3,0,-1,0.125,571b99e55d40840011c3de5f,31,,9651,Thu Mar 14 2019 10:37:45 GMT-0400 (Eastern Daylight Time),-1,1,1,1,0.916666667,1,0.962048958,0.916666667
brokenbar,trend,2,0.25,1,0.125,571b99e55d40840011c3de5f,32,,12091,Thu Mar 14 2019 10:37:58 GMT-0400 (Eastern Daylight Time),1,3,1,0.55,0.6125,0.55,0.6125,
brokenbar,trend,2,0.5,-1,0.125,571b99e55d40840011c3de5f,33,,13318,Thu Mar 14 2019 10:38:13 GMT-0400 (Eastern Daylight Time),-1,3,1,1,0.9375,1,0.9375,
brokenbar,trend,2,0,-1,0.25,571b99e55d40840011c3de5f,34,,21621,Thu Mar 14 2019 10:38:37 GMT-0400 (Eastern Daylight Time),1,3,0,1,0.875,1,0.875,
bar,trend,2,0,1,0.25,571b99e55d40840011c3de5f,35,,13732,Thu Mar 14 2019 10:38:52 GMT-0400 (Eastern Daylight Time),1,3,1,0.55,0.675,0.55,0.675,
bottomgradbar,trend,2,0.5,1,0.25,571b99e55d40840011c3de5f,36,,63769,Thu Mar 14 2019 10:39:57 GMT-0400 (Eastern Daylight Time),1,4,1,0.55,0.675,0.55,0.675,
bar,trend,3,0.25,1,0.125,571b99e55d40840011c3de5f,37,,21109,Thu Mar 14 2019 10:40:20 GMT-0400 (Eastern Daylight Time),1,2,1,0.55,0.633333333,0.55,0.594033885,0.633333333
bar,trend,3,0,-1,0.25,571b99e55d40840011c3de5f,38,,8793,Thu Mar 14 2019 10:40:30 GMT-0400 (Eastern Daylight Time),-1,3,1,1,0.833333333,1,0.912653474,0.833333333
bottomgradbar,trend,3,0.5,-1,0.125,571b99e55d40840011c3de5f,39,,16772,Thu Mar 14 2019 10:40:48 GMT-0400 (Eastern Daylight Time),-1,3,1,1,0.916666667,1,0.958876657,0.916666667
bottomgradbar,trend,3,0.25,-1,0.125,571b99e55d40840011c3de5f,40,,16957,Thu Mar 14 2019 10:41:07 GMT-0400 (Eastern Daylight Time),-1,2,1,1,0.916666667,1,0.950981162,0.916666667
bar,trend,3,0,1,0.125,571b99e55d40840011c3de5f,41,,19067,Thu Mar 14 2019 10:41:27 GMT-0400 (Eastern Daylight Time),1,2,1,0.55,0.633333333,0.55,0.583439234,0.633333333
brokenbar,trend,2,0.5,-1,0.25,571b99e55d40840011c3de5f,42,,231519,Thu Mar 14 2019 10:45:21 GMT-0400 (Eastern Daylight Time),-1,4,1,1,0.875,1,0.875,
bottomgradbar,trend,2,0,1,0.25,571b99e55d40840011c3de5f,43,,11627,Thu Mar 14 2019 10:45:36 GMT-0400 (Eastern Daylight Time),1,3,1,0.55,0.675,0.55,0.675,
bar,trend,2,0.5,1,0.125,571b99e55d40840011c3de5f,44,,15187,Thu Mar 14 2019 10:45:52 GMT-0400 (Eastern Daylight Time),1,3,1,0.55,0.6125,0.55,0.6125,
brokenbar,trend,3,0.5,1,0.25,5751e9f9eb80c4000741a65d,1,1,29126,Thu Mar 14 2019 14:14:37 GMT 0000 (Greenwich Mean Time),1,5,1,0.55,0.716666667,0.55,0.623986906,0.716666667
bar,trend,2,0.5,1,0.125,5751e9f9eb80c4000741a65d,2,1,20880,Thu Mar 14 2019 14:15:01 GMT 0000 (Greenwich Mean Time),1,3,1,0.55,0.6125,0.55,0.6125,
bar,trend,3,0,-1,0.25,5751e9f9eb80c4000741a65d,3,1,13084,Thu Mar 14 2019 14:15:15 GMT 0000 (Greenwich Mean Time),-1,3,1,1,0.833333333,1,0.936598746,0.833333333
bar,trend,2,0,-1,0.25,5751e9f9eb80c4000741a65d,4,1,16957,Thu Mar 14 2019 14:15:35 GMT 0000 (Greenwich Mean Time),-1,3,1,1,0.875,1,0.875,
bar,trend,3,0,1,0.125,5751e9f9eb80c4000741a65d,5,1,8490,Thu Mar 14 2019 14:15:47 GMT 0000 (Greenwich Mean Time),1,2,1,0.55,0.633333333,0.55,0.585582679,0.633333333
brokenbar,trend,3,0.5,1,0.25,5751e9f9eb80c4000741a65d,6,1,8668,Thu Mar 14 2019 14:15:57 GMT 0000 (Greenwich Mean Time),1,4,1,0.55,0.716666667,0.55,0.645705203,0.716666667
brokenbar,trend,2,0.5,-1,0.125,5751e9f9eb80c4000741a65d,7,1,12850,Thu Mar 14 2019 14:16:12 GMT 0000 (Greenwich Mean Time),-1,2,1,1,0.9375,1,0.9375,
bar,trend,3,0,-1,0.125,5751e9f9eb80c4000741a65d,8,1,14978,Thu Mar 14 2019 14:16:29 GMT 0000 (Greenwich Mean Time),-1,1,1,1,0.916666667,1,0.966958286,0.916666667
bottomgradbar,trend,2,0.5,1,0.125,5751e9f9eb80c4000741a65d,9,,10808,Thu Mar 14 2019 14:16:42 GMT 0000 (Greenwich Mean Time),1,2,1,0.55,0.6125,0.55,0.6125,
brokenbar,trend,3,0.5,1,0.125,5751e9f9eb80c4000741a65d,10,,10454,Thu Mar 14 2019 14:16:54 GMT 0000 (Greenwich Mean Time),1,3,1,0.55,0.633333333,0.55,0.583189207,0.633333333
bottomgradbar,trend,3,0.25,1,0.25,5751e9f9eb80c4000741a65d,11,,16235,Thu Mar 14 2019 14:17:11 GMT 0000 (Greenwich Mean Time),1,3,1,0.55,0.716666667,0.55,0.627198415,0.716666667
bar,trend,3,0,1,0.125,5751e9f9eb80c4000741a65d,12,,11710,Thu Mar 14 2019 14:17:24 GMT 0000 (Greenwich Mean Time),1,1,1,0.55,0.633333333,0.55,0.595185058,0.633333333
brokenbar,trend,3,0,-1,0.125,5751e9f9eb80c4000741a65d,13,,8458,Thu Mar 14 2019 14:17:34 GMT 0000 (Greenwich Mean Time),-1,1,1,1,0.916666667,1,0.95447492,0.916666667
bottomgradbar,trend,2,0.5,-1,0.25,5751e9f9eb80c4000741a65d,14,,6186,Thu Mar 14 2019 14:17:42 GMT 0000 (Greenwich Mean Time),-1,4,1,1,0.875,1,0.875,
brokenbar,trend,2,0.25,1,0.125,5751e9f9eb80c4000741a65d,15,,9506,Thu Mar 14 2019 14:17:53 GMT 0000 (Greenwich Mean Time),1,2,1,0.55,0.6125,0.55,0.6125,
brokenbar,trend,2,0,-1,0.25,5751e9f9eb80c4000741a65d,16,,9292,Thu Mar 14 2019 14:18:04 GMT 0000 (Greenwich Mean Time),-1,2,1,1,0.875,1,0.875,
bottomgradbar,trend,2,0.25,1,0.125,5751e9f9eb80c4000741a65d,17,,6127,Thu Mar 14 2019 14:18:11 GMT 0000 (Greenwich Mean Time),1,2,1,0.55,0.6125,0.55,0.6125,
brokenbar,trend,3,0.5,-1,0.25,5751e9f9eb80c4000741a65d,18,,11872,Thu Mar 14 2019 14:18:24 GMT 0000 (Greenwich Mean Time),-1,4,1,1,0.833333333,1,0.912038745,0.833333333
bar,trend,2,0.5,1,0.125,5751e9f9eb80c4000741a65d,19,,7618,Thu Mar 14 2019 14:18:34 GMT 0000 (Greenwich Mean Time),1,2,1,0.55,0.6125,0.55,0.6125,
bar,trend,2,0,-1,0.125,5751e9f9eb80c4000741a65d,20,,6786,Thu Mar 14 2019 14:18:50 GMT 0000 (Greenwich Mean Time),-1,1,1,1,0.9375,1,0.9375,
bar,trend,2,0,1,0.25,5751e9f9eb80c4000741a65d,21,,12118,Thu Mar 14 2019 14:19:11 GMT 0000 (Greenwich Mean Time),1,3,1,0.55,0.675,0.55,0.675,
bottomgradbar,trend,2,0,1,0.25,5751e9f9eb80c4000741a65d,22,,10599,Thu Mar 14 2019 14:19:23 GMT 0000 (Greenwich Mean Time),1,2,1,0.55,0.675,0.55,0.675,
bottomgradbar,trend,3,0.5,1,0.25,5751e9f9eb80c4000741a65d,23,,6608,Thu Mar 14 2019 14:19:34 GMT 0000 (Greenwich Mean Time),1,4,1,0.55,0.716666667,0.55,0.629618293,0.716666667
bottomgradbar,trend,3,0,1,0.25,5751e9f9eb80c4000741a65d,24,,31054,Thu Mar 14 2019 14:20:08 GMT 0000 (Greenwich Mean Time),1,2,1,0.55,0.716666667,0.55,0.634129053,0.716666667
bar,trend,2,0.5,1,0.25,5751e9f9eb80c4000741a65d,25,,6110,Thu Mar 14 2019 14:20:17 GMT 0000 (Greenwich Mean Time),1,5,1,0.55,0.675,0.55,0.675,
brokenbar,trend,3,0,1,0.25,5751e9f9eb80c4000741a65d,26,,13850,Thu Mar 14 2019 14:20:33 GMT 0000 (Greenwich Mean Time),1,3,1,0.55,0.716666667,0.55,0.650085976,0.716666667
brokenbar,trend,3,0.25,1,0.125,5751e9f9eb80c4000741a65d,27,,6843,Thu Mar 14 2019 14:20:41 GMT 0000 (Greenwich Mean Time),1,2,1,0.55,0.633333333,0.55,0.58845345,0.633333333
bottomgradbar,trend,2,0.25,-1,0.25,5751e9f9eb80c4000741a65d,28,,11356,Thu Mar 14 2019 14:20:54 GMT 0000 (Greenwich Mean Time),-1,3,1,1,0.875,1,0.875,
bar,trend,2,0.25,-1,0.25,5751e9f9eb80c4000741a65d,29,,8344,Thu Mar 14 2019 14:21:03 GMT 0000 (Greenwich Mean Time),-1,3,1,1,0.875,1,0.875,
bar,trend,3,0.25,1,0.125,5751e9f9eb80c4000741a65d,30,,9485,Thu Mar 14 2019 14:21:15 GMT 0000 (Greenwich Mean Time),1,1,1,0.55,0.633333333,0.55,0.58173521,0.633333333
bar,trend,3,0.25,1,0.25,5751e9f9eb80c4000741a65d,31,,9745,Thu Mar 14 2019 14:21:27 GMT 0000 (Greenwich Mean Time),1,2,1,0.55,0.716666667,0.55,0.633113023,0.716666667
bottomgradbar,trend,2,0,-1,0.125,5751e9f9eb80c4000741a65d,32,,5053,Thu Mar 14 2019 14:21:34 GMT 0000 (Greenwich Mean Time),-1,1,1,1,0.9375,1,0.9375,
bar,trend,3,0,-1,0.25,5751e9f9eb80c4000741a65d,33,,12859,Thu Mar 14 2019 14:21:48 GMT 0000 (Greenwich Mean Time),-1,1,1,1,0.833333333,1,0.932460373,0.833333333
bottomgradbar,trend,3,0.5,-1,0.125,5751e9f9eb80c4000741a65d,34,,55175,Thu Mar 14 2019 14:22:45 GMT 0000 (Greenwich Mean Time),-1,2,1,1,0.916666667,1,0.957085375,0.916666667
brokenbar,trend,2,0,1,0.125,5751e9f9eb80c4000741a65d,35,,7812,Thu Mar 14 2019 14:23:36 GMT 0000 (Greenwich Mean Time),1,1,1,0.55,0.6125,0.55,0.6125,
bar,trend,3,0.5,1,0.125,5751e9f9eb80c4000741a65d,36,,4332,Thu Mar 14 2019 14:23:42 GMT 0000 (Greenwich Mean Time),1,2,1,0.55,0.633333333,0.55,0.588179201,0.633333333
brokenbar,trend,3,0.25,-1,0.25,5751e9f9eb80c4000741a65d,37,,14662,Thu Mar 14 2019 14:23:58 GMT 0000 (Greenwich Mean Time),-1,2,1,1,0.833333333,1,0.920609682,0.833333333
brokenbar,trend,2,0.5,-1,0.125,5751e9f9eb80c4000741a65d,38,,9861,Thu Mar 14 2019 14:24:10 GMT 0000 (Greenwich Mean Time),-1,1,1,1,0.9375,1,0.9375,
brokenbar,trend,2,0.5,-1,0.25,5751e9f9eb80c4000741a65d,39,,7298,Thu Mar 14 2019 14:24:18 GMT 0000 (Greenwich Mean Time),-1,4,1,1,0.875,1,0.875,
bottomgradbar,trend,3,0.25,1,0.125,5751e9f9eb80c4000741a65d,40,,11349,Thu Mar 14 2019 14:24:32 GMT 0000 (Greenwich Mean Time),1,2,1,0.55,0.633333333,0.55,0.598433395,0.633333333
bottomgradbar,trend,3,0,-1,0.125,5751e9f9eb80c4000741a65d,41,,5579,Thu Mar 14 2019 14:24:39 GMT 0000 (Greenwich Mean Time),-1,2,1,1,0.916666667,1,0.96793244,0.916666667
bar,trend,3,0.5,-1,0.25,5751e9f9eb80c4000741a65d,42,,7428,Thu Mar 14 2019 14:24:48 GMT 0000 (Greenwich Mean Time),-1,4,1,1,0.833333333,1,0.909012589,0.833333333
