visType,labelType,framing,dataSize,truncationLevel,trendDirection,slope,id,index,training,rt,timestamp,qTrend,qSeverity,qFirst,qLast,correct,firstX,lastX,exp,x0,x1,x2
bar,none,trend,2,0.25,1,0.125,5bd507a62a94760001f37811,28,,16587,Wed Jul 17 2019 20:25:13 GMT-0400 (EDT),1,2,0.55,0.6,1,0.55,0.6125,exp3,0.55,0.6125,
brokenbar,none,trend,2,0,1,0.25,5bd507a62a94760001f37811,29,,172215,Wed Jul 17 2019 20:28:07 GMT-0400 (EDT),1,3,0.6,0.7,1,0.55,0.675,exp3,0.55,0.675,
brokenbar,none,trend,3,0.5,-1,0.125,5bd507a62a94760001f37811,30,,19174,Wed Jul 17 2019 20:28:27 GMT-0400 (EDT),-1,2,1,0.9,1,1,0.916666667,exp3,1,0.959325676,0.916666667
bar,none,trend,3,0,1,0.25,5bd507a62a94760001f37811,31,,12689,Wed Jul 17 2019 20:28:48 GMT-0400 (EDT),1,2,0.5,0.68,1,0.55,0.716666667,exp3,0.55,0.634242965,0.716666667
bar,none,trend,3,0,-1,0.125,5bd507a62a94760001f37811,32,,13969,Wed Jul 17 2019 20:29:03 GMT-0400 (EDT),-1,1,1,0.92,1,1,0.916666667,exp3,1,0.957412627,0.916666667
brokenbar,none,trend,3,0,-1,0.25,5bd507a62a94760001f37811,33,,16409,Wed Jul 17 2019 20:29:21 GMT-0400 (EDT),-1,3,1,0.8,1,1,0.833333333,exp3,1,0.910523723,0.833333333
brokenbar,none,trend,2,0.25,-1,0.25,5bd507a62a94760001f37811,34,,16174,Wed Jul 17 2019 20:29:38 GMT-0400 (EDT),-1,3,1,0.8,1,1,0.875,exp3,1,0.875,
bottomgradbar,none,trend,3,0.25,1,0.25,5bd507a62a94760001f37811,35,,29786,Wed Jul 17 2019 20:30:09 GMT-0400 (EDT),1,4,0.45,0.8,1,0.55,0.716666667,exp3,0.55,0.630290467,0.716666667
bar,none,trend,2,0,1,0.25,5bd507a62a94760001f37811,36,,13245,Wed Jul 17 2019 20:30:25 GMT-0400 (EDT),1,3,0.6,0.75,1,0.55,0.675,exp3,0.55,0.675,
bar,none,trend,3,0.25,-1,0.125,5bd507a62a94760001f37811,37,,13415,Wed Jul 17 2019 20:30:39 GMT-0400 (EDT),-1,1,1,0.92,1,1,0.916666667,exp3,1,0.951220326,0.916666667
bar,none,trend,2,0.5,1,0.125,5bd507a62a94760001f37811,38,,12760,Wed Jul 17 2019 20:30:53 GMT-0400 (EDT),1,1,0.54,0.6,1,0.55,0.6125,exp3,0.55,0.6125,
brokenbar,none,trend,2,0.5,1,0.25,5bd507a62a94760001f37811,39,,14500,Wed Jul 17 2019 20:31:09 GMT-0400 (EDT),1,2,0.54,0.64,1,0.55,0.675,exp3,0.55,0.675,
bottomgradbar,none,trend,2,0,1,0.25,5bd507a62a94760001f37811,40,,16008,Wed Jul 17 2019 20:31:26 GMT-0400 (EDT),1,2,0.55,0.63,1,0.55,0.675,exp3,0.55,0.675,
brokenbar,none,trend,3,0.25,1,0.125,5bd507a62a94760001f37811,41,,19660,Wed Jul 17 2019 20:31:49 GMT-0400 (EDT),1,2,0.6,0.7,1,0.55,0.633333333,exp3,0.55,0.581669469,0.633333333
brokenbar,none,trend,2,0.25,-1,0.125,5bd507a62a94760001f37811,42,,13274,Wed Jul 17 2019 20:32:04 GMT-0400 (EDT),-1,1,1,0.93,1,1,0.9375,exp3,1,0.9375,
bottomgradbar,none,trend,2,0.5,1,0.25,5bd507a62a94760001f37811,43,,15099,Wed Jul 17 2019 20:32:20 GMT-0400 (EDT),1,2,0.53,0.6,1,0.55,0.675,exp3,0.55,0.675,
brokenbar,none,trend,3,0.5,-1,0.25,5bd507a62a94760001f37811,44,,23798,Wed Jul 17 2019 20:32:45 GMT-0400 (EDT),-1,2,1,0.85,1,1,0.833333333,exp3,1,0.898419439,0.833333333
brokenbar,none,trend,2,0.5,-1,0.25,5befd98b1e78580001dc12af,1,1,39151,Thu Jul 18 2019 08:46:04 GMT 1000 (Australian Eastern Standard Time),-1,2,1,0.9,1,1,0.875,exp3,1,0.875,
bottomgradbar,none,trend,2,0,1,0.25,5befd98b1e78580001dc12af,2,1,23051,Thu Jul 18 2019 08:46:30 GMT 1000 (Australian Eastern Standard Time),1,2,0.5,0.65,1,0.55,0.675,exp3,0.55,0.675,
bottomgradbar,none,trend,2,0.5,1,0.25,5befd98b1e78580001dc12af,3,1,31208,Thu Jul 18 2019 08:47:04 GMT 1000 (Australian Eastern Standard Time),1,2,0.55,0.7,1,0.55,0.675,exp3,0.55,0.675,
brokenbar,none,trend,3,0.5,1,0.125,5befd98b1e78580001dc12af,4,1,23780,Thu Jul 18 2019 08:47:31 GMT 1000 (Australian Eastern Standard Time),1,1,0.55,0.65,1,0.55,0.633333333,exp3,0.55,0.587679711,0.633333333
bottomgradbar,none,trend,2,0,-1,0.25,5befd98b1e78580001dc12af,5,1,106430,Thu Jul 18 2019 08:53:22 GMT 1000 (Australian Eastern Standard Time),-1,1,1,0.9,1,1,0.875,exp3,1,0.875,
bar,none,trend,3,0.5,1,0.125,5befd98b1e78580001dc12af,6,1,78177,Thu Jul 18 2019 08:54:48 GMT 1000 (Australian Eastern Standard Time),1,1,0.55,0.7,1,0.55,0.633333333,exp3,0.55,0.59772402,0.633333333
bottomgradbar,none,trend,3,0,1,0.125,5befd98b1e78580001dc12af,7,1,20584,Thu Jul 18 2019 08:55:15 GMT 1000 (Australian Eastern Standard Time),1,1,0.5,0.6,1,0.55,0.633333333,exp3,0.55,0.581629098,0.633333333
brokenbar,none,trend,3,0,1,0.125,5befd98b1e78580001dc12af,8,1,18496,Thu Jul 18 2019 08:55:36 GMT 1000 (Australian Eastern Standard Time),1,1,0.5,0.58,1,0.55,0.633333333,exp3,0.55,0.583989258,0.633333333
bottomgradbar,none,trend,3,0.5,-1,0.25,5befd98b1e78580001dc12af,9,,20207,Thu Jul 18 2019 08:55:59 GMT 1000 (Australian Eastern Standard Time),-1,3,1,0.8,1,1,0.833333333,exp3,1,0.923824535,0.833333333
brokenbar,none,trend,2,0.25,-1,0.125,5befd98b1e78580001dc12af,10,,25792,Thu Jul 18 2019 08:56:28 GMT 1000 (Australian Eastern Standard Time),-1,2,1,0.9,1,1,0.9375,exp3,1,0.9375,
bottomgradbar,none,trend,2,0,1,0.125,5befd98b1e78580001dc12af,11,,33879,Thu Jul 18 2019 08:57:04 GMT 1000 (Australian Eastern Standard Time),1,2,0.5,0.6,1,0.55,0.6125,exp3,0.55,0.6125,
bottomgradbar,none,trend,2,0.25,-1,0.25,5befd98b1e78580001dc12af,12,,21911,Thu Jul 18 2019 08:57:28 GMT 1000 (Australian Eastern Standard Time),-1,2,1,0.85,1,1,0.875,exp3,1,0.875,
bottomgradbar,none,trend,3,0.5,1,0.125,5befd98b1e78580001dc12af,13,,15452,Thu Jul 18 2019 08:57:46 GMT 1000 (Australian Eastern Standard Time),1,1,0.55,0.65,1,0.55,0.633333333,exp3,0.55,0.58730827,0.633333333
brokenbar,none,trend,2,0,1,0.125,5befd98b1e78580001dc12af,14,,15840,Thu Jul 18 2019 08:58:04 GMT 1000 (Australian Eastern Standard Time),1,1,0.5,0.58,1,0.55,0.6125,exp3,0.55,0.6125,
bar,none,trend,3,0,1,0.125,5befd98b1e78580001dc12af,15,,178421,Thu Jul 18 2019 09:01:06 GMT 1000 (Australian Eastern Standard Time),1,1,0.5,0.58,1,0.55,0.633333333,exp3,0.55,0.581823587,0.633333333
brokenbar,none,trend,2,0.5,-1,0.25,5befd98b1e78580001dc12af,16,,24960,Thu Jul 18 2019 09:01:34 GMT 1000 (Australian Eastern Standard Time),-1,3,1,0.85,1,1,0.875,exp3,1,0.875,
bottomgradbar,none,trend,3,0,1,0.125,5befd98b1e78580001dc12af,17,,436668,Thu Jul 18 2019 09:08:54 GMT 1000 (Australian Eastern Standard Time),1,1,0.5,0.58,1,0.55,0.633333333,exp3,0.55,0.587959552,0.633333333
bottomgradbar,none,trend,2,0.25,1,0.125,5befd98b1e78580001dc12af,18,,23008,Thu Jul 18 2019 09:09:19 GMT 1000 (Australian Eastern Standard Time),1,1,0.6,0.65,1,0.55,0.6125,exp3,0.55,0.6125,
bar,none,trend,2,0.5,1,0.125,5befd98b1e78580001dc12af,19,,18864,Thu Jul 18 2019 09:09:40 GMT 1000 (Australian Eastern Standard Time),1,2,0.55,0.63,1,0.55,0.6125,exp3,0.55,0.6125,
bar,none,trend,3,0.5,1,0.25,5befd98b1e78580001dc12af,20,,16605,Thu Jul 18 2019 09:09:58 GMT 1000 (Australian Eastern Standard Time),1,2,0.55,0.7,1,0.55,0.716666667,exp3,0.55,0.612554122,0.716666667
bar,none,trend,3,0.25,1,0.125,5befd98b1e78580001dc12af,21,,34775,Thu Jul 18 2019 09:10:36 GMT 1000 (Australian Eastern Standard Time),1,1,0.6,0.68,1,0.55,0.633333333,exp3,0.55,0.595283955,0.633333333
bottomgradbar,none,trend,2,0.5,1,0.25,5befd98b1e78580001dc12af,22,,15418,Thu Jul 18 2019 09:10:53 GMT 1000 (Australian Eastern Standard Time),1,3,0.55,0.65,1,0.55,0.675,exp3,0.55,0.675,
brokenbar,none,trend,2,0,-1,0.25,5befd98b1e78580001dc12af,23,,17488,Thu Jul 18 2019 09:11:13 GMT 1000 (Australian Eastern Standard Time),-1,4,1,0.85,1,1,0.875,exp3,1,0.875,
bar,none,trend,3,0.5,1,0.125,5befd98b1e78580001dc12af,24,,18304,Thu Jul 18 2019 09:11:33 GMT 1000 (Australian Eastern Standard Time),1,2,0.55,0.65,1,0.55,0.633333333,exp3,0.55,0.581935881,0.633333333
bottomgradbar,none,trend,3,0.25,1,0.125,5befd98b1e78580001dc12af,25,,27303,Thu Jul 18 2019 09:12:02 GMT 1000 (Australian Eastern Standard Time),1,1,0.6,0.65,1,0.55,0.633333333,exp3,0.55,0.582736011,0.633333333
bottomgradbar,none,trend,3,0.25,1,0.25,5befd98b1e78580001dc12af,26,,20793,Thu Jul 18 2019 09:12:26 GMT 1000 (Australian Eastern Standard Time),1,4,0.65,0.8,1,0.55,0.716666667,exp3,0.55,0.632228869,0.716666667
bar,none,trend,2,0.5,1,0.25,5befd98b1e78580001dc12af,27,,11256,Thu Jul 18 2019 09:12:40 GMT 1000 (Australian Eastern Standard Time),1,3,0.55,0.65,1,0.55,0.675,exp3,0.55,0.675,
brokenbar,none,trend,3,0.5,-1,0.125,5befd98b1e78580001dc12af,28,,30050,Thu Jul 18 2019 09:13:13 GMT 1000 (Australian Eastern Standard Time),-1,2,1,0.9,1,1,0.916666667,exp3,1,0.959643406,0.916666667
bar,none,trend,2,0,-1,0.25,5befd98b1e78580001dc12af,29,,16232,Thu Jul 18 2019 09:13:31 GMT 1000 (Australian Eastern Standard Time),-1,3,1,0.85,1,1,0.875,exp3,1,0.875,
brokenbar,none,trend,2,0.5,-1,0.125,5befd98b1e78580001dc12af,30,,15528,Thu Jul 18 2019 09:13:48 GMT 1000 (Australian Eastern Standard Time),-1,1,1,0.95,1,1,0.9375,exp3,1,0.9375,
bottomgradbar,none,trend,2,0,1,0.25,5befd98b1e78580001dc12af,31,,12649,Thu Jul 18 2019 09:14:03 GMT 1000 (Australian Eastern Standard Time),1,3,0.5,0.6,1,0.55,0.675,exp3,0.55,0.675,
bar,none,trend,3,0,-1,0.25,5befd98b1e78580001dc12af,32,,12064,Thu Jul 18 2019 09:15:15 GMT 1000 (Australian Eastern Standard Time),-1,1,1,0.85,1,1,0.833333333,exp3,1,0.916274575,0.833333333
brokenbar,none,trend,3,0.5,-1,0.25,5befd98b1e78580001dc12af,33,,15808,Thu Jul 18 2019 09:15:33 GMT 1000 (Australian Eastern Standard Time),-1,3,1,0.8,1,1,0.833333333,exp3,1,0.897320838,0.833333333
bottomgradbar,none,trend,2,0.5,-1,0.125,5befd98b1e78580001dc12af,34,,13088,Thu Jul 18 2019 09:15:48 GMT 1000 (Australian Eastern Standard Time),-1,1,1,0.95,1,1,0.9375,exp3,1,0.9375,
bar,none,trend,2,0.25,-1,0.125,5befd98b1e78580001dc12af,35,,10599,Thu Jul 18 2019 09:16:01 GMT 1000 (Australian Eastern Standard Time),-1,1,1,0.95,1,1,0.9375,exp3,1,0.9375,
brokenbar,none,trend,3,0.25,-1,0.25,5befd98b1e78580001dc12af,36,,14016,Thu Jul 18 2019 09:16:17 GMT 1000 (Australian Eastern Standard Time),-1,2,1,0.8,1,1,0.833333333,exp3,1,0.907791925,0.833333333
bar,none,trend,3,0.25,1,0.25,5befd98b1e78580001dc12af,37,,18999,Thu Jul 18 2019 09:16:38 GMT 1000 (Australian Eastern Standard Time),1,2,0.6,0.75,1,0.55,0.716666667,exp3,0.55,0.617867578,0.716666667
brokenbar,none,trend,3,0,-1,0.25,5befd98b1e78580001dc12af,38,,17161,Thu Jul 18 2019 09:16:57 GMT 1000 (Australian Eastern Standard Time),-1,2,1,0.85,1,1,0.833333333,exp3,1,0.931453266,0.833333333
brokenbar,none,trend,3,0.25,1,0.125,5befd98b1e78580001dc12af,39,,18422,Thu Jul 18 2019 09:17:17 GMT 1000 (Australian Eastern Standard Time),1,1,0.55,0.6,1,0.55,0.633333333,exp3,0.55,0.585596641,0.633333333
bottomgradbar,none,trend,3,0,1,0.25,5befd98b1e78580001dc12af,40,,13856,Thu Jul 18 2019 09:17:33 GMT 1000 (Australian Eastern Standard Time),1,3,0.5,0.7,1,0.55,0.716666667,exp3,0.55,0.614678217,0.716666667
bar,none,trend,2,0.25,1,0.25,5befd98b1e78580001dc12af,41,,14176,Thu Jul 18 2019 09:17:53 GMT 1000 (Australian Eastern Standard Time),1,3,0.6,0.7,1,0.55,0.675,exp3,0.55,0.675,
bar,none,trend,2,0,-1,0.125,5befd98b1e78580001dc12af,42,,18512,Thu Jul 18 2019 09:20:06 GMT 1000 (Australian Eastern Standard Time),-1,1,1,0.92,1,1,0.9375,exp3,1,0.9375,
brokenbar,none,trend,2,0.25,-1,0.25,5befd98b1e78580001dc12af,43,,92642,Thu Jul 18 2019 09:21:42 GMT 1000 (Australian Eastern Standard Time),-1,2,1,0.8,1,1,0.875,exp3,1,0.875,
brokenbar,none,trend,3,0,1,0.125,5befd98b1e78580001dc12af,44,,16552,Thu Jul 18 2019 09:22:01 GMT 1000 (Australian Eastern Standard Time),1,1,0.8,0.6,1,0.55,0.633333333,exp3,0.55,0.591800796,0.633333333
bottomgradbar,none,trend,3,0,-1,0.125,5bfae7c94e5fc60001103834,1,1,19286,Wed Jul 17 2019 17:32:19 GMT-0500 (Central Daylight Time),-1,1,1,0.97,1,1,0.916666667,exp3,1,0.960440553,0.916666667
bottomgradbar,none,trend,2,0,-1,0.125,5bfae7c94e5fc60001103834,2,1,11198,Wed Jul 17 2019 17:32:31 GMT-0500 (Central Daylight Time),-1,2,1,0.96,1,1,0.9375,exp3,1,0.9375,
bottomgradbar,none,trend,3,0.5,-1,0.25,5bfae7c94e5fc60001103834,3,1,22834,Wed Jul 17 2019 17:32:56 GMT-0500 (Central Daylight Time),-1,4,1,0.65,1,1,0.833333333,exp3,1,0.910407853,0.833333333
bottomgradbar,none,trend,2,0,1,0.25,5bfae7c94e5fc60001103834,4,1,11298,Wed Jul 17 2019 17:33:08 GMT-0500 (Central Daylight Time),1,3,0.5,0.6,1,0.55,0.675,exp3,0.55,0.675,
bar,none,trend,2,0.5,-1,0.25,5bfae7c94e5fc60001103834,5,1,10847,Wed Jul 17 2019 17:33:23 GMT-0500 (Central Daylight Time),-1,3,1,0.7,1,1,0.875,exp3,1,0.875,
bar,none,trend,3,0,-1,0.25,5bfae7c94e5fc60001103834,6,1,16340,Wed Jul 17 2019 17:33:41 GMT-0500 (Central Daylight Time),-1,2,1,0.9,1,1,0.833333333,exp3,1,0.922915322,0.833333333
brokenbar,none,trend,3,0.5,1,0.125,5bfae7c94e5fc60001103834,7,1,20740,Wed Jul 17 2019 17:34:03 GMT-0500 (Central Daylight Time),1,1,0.55,0.62,1,0.55,0.633333333,exp3,0.55,0.583960523,0.633333333
bottomgradbar,none,trend,3,0.5,1,0.125,5bfae7c94e5fc60001103834,8,1,17630,Wed Jul 17 2019 17:34:22 GMT-0500 (Central Daylight Time),1,2,0.55,0.64,1,0.55,0.633333333,exp3,0.55,0.587012274,0.633333333
bar,none,trend,2,0.5,1,0.25,5bfae7c94e5fc60001103834,9,,12792,Wed Jul 17 2019 17:34:37 GMT-0500 (Central Daylight Time),1,4,0.55,0.7,1,0.55,0.675,exp3,0.55,0.675,
brokenbar,none,trend,3,0.25,-1,0.125,5bfae7c94e5fc60001103834,10,,12353,Wed Jul 17 2019 17:34:50 GMT-0500 (Central Daylight Time),-1,1,1,0.95,1,1,0.916666667,exp3,1,0.950982945,0.916666667
brokenbar,none,trend,3,0.5,-1,0.125,5bfae7c94e5fc60001103834,11,,23913,Wed Jul 17 2019 17:35:22 GMT-0500 (Central Daylight Time),-1,2,1,0.9,1,1,0.916666667,exp3,1,0.967449402,0.916666667
bar,none,trend,3,0,-1,0.125,5bfae7c94e5fc60001103834,12,,15418,Wed Jul 17 2019 17:35:39 GMT-0500 (Central Daylight Time),-1,1,1,0.96,1,1,0.916666667,exp3,1,0.950723732,0.916666667
bar,none,trend,2,0,1,0.125,5bfae7c94e5fc60001103834,13,,9259,Wed Jul 17 2019 17:35:50 GMT-0500 (Central Daylight Time),1,1,0.5,0.55,1,0.55,0.6125,exp3,0.55,0.6125,
bar,none,trend,3,0.5,-1,0.125,5bfae7c94e5fc60001103834,14,,22424,Wed Jul 17 2019 17:36:14 GMT-0500 (Central Daylight Time),-1,1,1,0.9,1,1,0.916666667,exp3,1,0.957148135,0.916666667
bar,none,trend,2,0,1,0.25,5bfae7c94e5fc60001103834,15,,14861,Wed Jul 17 2019 17:36:31 GMT-0500 (Central Daylight Time),1,2,0.5,0.6,1,0.55,0.675,exp3,0.55,0.675,
bar,none,trend,3,0,-1,0.25,5bfae7c94e5fc60001103834,16,,15901,Wed Jul 17 2019 17:36:47 GMT-0500 (Central Daylight Time),-1,2,1,0.85,1,1,0.833333333,exp3,1,0.912432962,0.833333333
bottomgradbar,none,trend,3,0.25,1,0.25,5bfae7c94e5fc60001103834,17,,31129,Wed Jul 17 2019 17:37:20 GMT-0500 (Central Daylight Time),1,3,0.5,0.65,1,0.55,0.716666667,exp3,0.55,0.621846895,0.716666667
bottomgradbar,none,trend,3,0.5,-1,0.25,5bfae7c94e5fc60001103834,18,,20657,Wed Jul 17 2019 17:37:42 GMT-0500 (Central Daylight Time),-1,4,1,0.8,1,1,0.833333333,exp3,1,0.911196144,0.833333333
brokenbar,none,trend,3,0.5,-1,0.25,5bfae7c94e5fc60001103834,19,,18714,Wed Jul 17 2019 17:38:02 GMT-0500 (Central Daylight Time),-1,4,1,0.8,1,1,0.833333333,exp3,1,0.910310357,0.833333333
brokenbar,none,trend,2,0,1,0.25,5bfae7c94e5fc60001103834,20,,23370,Wed Jul 17 2019 17:38:26 GMT-0500 (Central Daylight Time),1,3,0.55,0.7,1,0.55,0.675,exp3,0.55,0.675,
bar,none,trend,3,0.25,1,0.125,5bfae7c94e5fc60001103834,21,,33233,Wed Jul 17 2019 17:39:01 GMT-0500 (Central Daylight Time),1,3,0.45,0.6,1,0.55,0.633333333,exp3,0.55,0.592397925,0.633333333
bottomgradbar,none,trend,2,0.5,-1,0.125,5bfae7c94e5fc60001103834,22,,12699,Wed Jul 17 2019 17:39:15 GMT-0500 (Central Daylight Time),-1,1,1,0.95,1,1,0.9375,exp3,1,0.9375,
bar,none,trend,2,0.25,-1,0.25,5bfae7c94e5fc60001103834,23,,17620,Wed Jul 17 2019 17:39:33 GMT-0500 (Central Daylight Time),-1,4,1,0.8,1,1,0.875,exp3,1,0.875,
bottomgradbar,none,trend,2,0.25,1,0.25,5bfae7c94e5fc60001103834,24,,13228,Wed Jul 17 2019 17:39:48 GMT-0500 (Central Daylight Time),1,3,0.5,0.65,1,0.55,0.675,exp3,0.55,0.675,
brokenbar,none,trend,3,0,-1,0.125,5bfae7c94e5fc60001103834,25,,17105,Wed Jul 17 2019 17:40:06 GMT-0500 (Central Daylight Time),-1,1,1,0.95,1,1,0.916666667,exp3,1,0.965928047,0.916666667
bottomgradbar,none,trend,2,0,1,0.125,5bfae7c94e5fc60001103834,26,,9573,Wed Jul 17 2019 17:40:17 GMT-0500 (Central Daylight Time),1,1,0.5,0.55,1,0.55,0.6125,exp3,0.55,0.6125,
brokenbar,none,trend,2,0.5,-1,0.125,5bfae7c94e5fc60001103834,27,,11008,Wed Jul 17 2019 17:40:29 GMT-0500 (Central Daylight Time),-1,2,1,0.9,1,1,0.9375,exp3,1,0.9375,
bottomgradbar,none,trend,3,0.5,-1,0.125,5bfae7c94e5fc60001103834,28,,8500,Wed Jul 17 2019 17:40:39 GMT-0500 (Central Daylight Time),-1,2,1,0.9,1,1,0.916666667,exp3,1,0.958902088,0.916666667
brokenbar,none,trend,2,0.5,1,0.25,5bfae7c94e5fc60001103834,29,,21196,Wed Jul 17 2019 17:41:01 GMT-0500 (Central Daylight Time),1,3,0.55,0.65,1,0.55,0.675,exp3,0.55,0.675,
bottomgradbar,none,trend,3,0.25,1,0.125,5bfae7c94e5fc60001103834,30,,15005,Wed Jul 17 2019 17:41:18 GMT-0500 (Central Daylight Time),1,1,0.55,0.6,1,0.55,0.633333333,exp3,0.55,0.595418518,0.633333333
bar,none,trend,3,0.5,-1,0.25,5bfae7c94e5fc60001103834,31,,12082,Wed Jul 17 2019 17:41:31 GMT-0500 (Central Daylight Time),-1,4,1,0.8,1,1,0.833333333,exp3,1,0.931143926,0.833333333
brokenbar,none,trend,3,0.25,-1,0.25,5bfae7c94e5fc60001103834,32,,17172,Wed Jul 17 2019 17:41:50 GMT-0500 (Central Daylight Time),-1,4,1,0.8,1,1,0.833333333,exp3,1,0.903270959,0.833333333
bottomgradbar,none,trend,2,0.5,-1,0.25,5bfae7c94e5fc60001103834,33,,17106,Wed Jul 17 2019 17:42:08 GMT-0500 (Central Daylight Time),-1,5,1,0.8,1,1,0.875,exp3,1,0.875,
brokenbar,none,trend,3,0,1,0.25,5bfae7c94e5fc60001103834,34,,14607,Wed Jul 17 2019 17:42:24 GMT-0500 (Central Daylight Time),1,3,0.5,0.7,1,0.55,0.716666667,exp3,0.55,0.618583867,0.716666667
bottomgradbar,none,trend,2,0.25,1,0.125,5bfae7c94e5fc60001103834,35,,11144,Wed Jul 17 2019 17:42:36 GMT-0500 (Central Daylight Time),1,1,0.55,0.6,1,0.55,0.6125,exp3,0.55,0.6125,
bar,none,trend,3,0.25,-1,0.25,5bfae7c94e5fc60001103834,36,,17223,Wed Jul 17 2019 17:42:54 GMT-0500 (Central Daylight Time),-1,2,1,0.9,1,1,0.833333333,exp3,1,0.924259298,0.833333333
brokenbar,none,trend,2,0.25,1,0.125,5bfae7c94e5fc60001103834,37,,9659,Wed Jul 17 2019 17:43:05 GMT-0500 (Central Daylight Time),1,1,0.55,0.6,1,0.55,0.6125,exp3,0.55,0.6125,
bar,none,trend,2,0.25,-1,0.125,5bfae7c94e5fc60001103834,38,,7512,Wed Jul 17 2019 17:43:14 GMT-0500 (Central Daylight Time),-1,1,1,0.95,1,1,0.9375,exp3,1,0.9375,
bottomgradbar,none,trend,3,0,-1,0.125,5bfae7c94e5fc60001103834,39,,9163,Wed Jul 17 2019 17:43:24 GMT-0500 (Central Daylight Time),-1,1,1,0.95,1,1,0.916666667,exp3,1,0.94876533,0.916666667
bottomgradbar,none,trend,3,0,-1,0.25,5bfae7c94e5fc60001103834,40,,8957,Wed Jul 17 2019 17:43:34 GMT-0500 (Central Daylight Time),-1,3,1,0.85,1,1,0.833333333,exp3,1,0.929002997,0.833333333
brokenbar,none,trend,2,0.25,1,0.25,5bfae7c94e5fc60001103834,41,,8481,Wed Jul 17 2019 17:43:44 GMT-0500 (Central Daylight Time),1,3,0.55,0.65,1,0.55,0.675,exp3,0.55,0.675,
brokenbar,none,trend,2,0,-1,0.125,5bfae7c94e5fc60001103834,42,,6971,Wed Jul 17 2019 17:43:52 GMT-0500 (Central Daylight Time),-1,1,1,0.96,1,1,0.9375,exp3,1,0.9375,
bottomgradbar,none,trend,2,0,1,0.25,5bfae7c94e5fc60001103834,43,,22250,Wed Jul 17 2019 17:44:15 GMT-0500 (Central Daylight Time),1,3,0.6,0.7,1,0.55,0.675,exp3,0.55,0.675,
bar,none,trend,2,0.5,-1,0.125,5bfae7c94e5fc60001103834,44,,7088,Wed Jul 17 2019 17:44:23 GMT-0500 (Central Daylight Time),-1,3,1,0.9,1,1,0.9375,exp3,1,0.9375,
bar,none,trend,3,0.5,-1,0.125,5c0a7febe570940001a2cbe2,1,1,76094,Thu Jul 18 2019 00:41:14 GMT 0200 (CEST),-1,2,0.9,0.8,1,1,0.916666667,exp3,1,0.954674683,0.916666667
bottomgradbar,none,trend,3,0.5,1,0.25,5c0a7febe570940001a2cbe2,2,1,78196,Thu Jul 18 2019 00:42:37 GMT 0200 (CEST),1,3,0.55,0.7,1,0.55,0.716666667,exp3,0.55,0.612869654,0.716666667
brokenbar,none,trend,3,0,-1,0.125,5c0a7febe570940001a2cbe2,3,1,47888,Thu Jul 18 2019 00:43:30 GMT 0200 (CEST),-1,2,1,0.85,1,1,0.916666667,exp3,1,0.948722929,0.916666667
bottomgradbar,none,trend,3,0.5,-1,0.25,5c0a7febe570940001a2cbe2,4,1,48301,Thu Jul 18 2019 00:44:21 GMT 0200 (CEST),-1,3,1,0.85,1,1,0.833333333,exp3,1,0.902286063,0.833333333
brokenbar,none,trend,2,0,1,0.25,5c0a7febe570940001a2cbe2,5,1,13218,Thu Jul 18 2019 00:44:36 GMT 0200 (CEST),1,2,0.5,0.6,1,0.55,0.675,exp3,0.55,0.675,
brokenbar,none,trend,2,0,-1,0.25,5c0a7febe570940001a2cbe2,6,1,20044,Thu Jul 18 2019 00:44:59 GMT 0200 (CEST),-1,2,1,0.9,1,1,0.875,exp3,1,0.875,
brokenbar,none,trend,2,0.5,-1,0.125,5c0a7febe570940001a2cbe2,7,1,41589,Thu Jul 18 2019 00:45:42 GMT 0200 (CEST),-1,2,1,0.9,1,1,0.9375,exp3,1,0.9375,
bar,none,trend,3,0,-1,0.125,5c0a7febe570940001a2cbe2,8,1,15017,Thu Jul 18 2019 00:45:59 GMT 0200 (CEST),-1,1,1,0.9,1,1,0.916666667,exp3,1,0.95631436,0.916666667
bottomgradbar,none,trend,2,0.5,-1,0.125,5c0a7febe570940001a2cbe2,9,,11343,Thu Jul 18 2019 00:46:13 GMT 0200 (CEST),-1,2,1,0.9,1,1,0.9375,exp3,1,0.9375,
brokenbar,none,trend,2,0,-1,0.25,5c0a7febe570940001a2cbe2,10,,22537,Thu Jul 18 2019 00:46:37 GMT 0200 (CEST),-1,3,1,0.8,1,1,0.875,exp3,1,0.875,
bar,none,trend,2,0,-1,0.125,5c0a7febe570940001a2cbe2,11,,9257,Thu Jul 18 2019 00:46:48 GMT 0200 (CEST),-1,2,1,0.9,1,1,0.9375,exp3,1,0.9375,
bar,none,trend,3,0.25,1,0.25,5c0a7febe570940001a2cbe2,12,,56446,Thu Jul 18 2019 00:47:46 GMT 0200 (CEST),1,3,0.5,0.65,1,0.55,0.716666667,exp3,0.55,0.62045466,0.716666667
bar,none,trend,2,0.25,1,0.25,5c0a7febe570940001a2cbe2,13,,13504,Thu Jul 18 2019 00:48:01 GMT 0200 (CEST),1,3,0.5,0.65,1,0.55,0.675,exp3,0.55,0.675,
brokenbar,none,trend,3,0.25,-1,0.25,5c0a7febe570940001a2cbe2,14,,21322,Thu Jul 18 2019 00:48:25 GMT 0200 (CEST),-1,3,1,0.8,1,1,0.833333333,exp3,1,0.902436568,0.833333333
